date,total_value,total_cost_basis,total_pnl
2025-08-26,45914.00,31727.00,14187.00
2025-08-27,46048.00,31727.00,14321.00
2025-08-28,45341.00,31727.00,13614.00
2025-08-29,43937.00,31727.00,12210.00
2025-08-30,43957.00,31727.00,12230.00
2025-08-31,43957.00,31727.00,12230.00
2025-09-01,43957.00,31727.00,12230.00
2025-09-02,44277.00,31727.00,12550.00
2025-09-03,44377.00,31727.00,12650.00
2025-09-04,44764.00,31727.00,13037.00
2025-09-05,45703.00,31727.00,13976.00
2025-09-06,46128.00,31727.00,14401.00
2025-09-07,46128.00,31727.00,14401.00
2025-09-08,46624.00,31727.00,14897.00
2025-09-09,45250.00,31727.00,13523.00
2025-09-10,53388.00,31727.00,21661.00
2025-09-11,52639.00,31727.00,20912.00
2025-09-12,52573.00,31727.00,20846.00
2025-09-13,52563.00,31727.00,20836.00
2025-09-14,52563.00,31727.00,20836.00
2025-09-15,53866.00,31727.00,22139.00
2025-09-16,54533.00,31727.00,22806.00
2025-09-17,54063.00,31727.00,22336.00
2025-09-18,52978.00,31727.00,21251.00
2025-09-19,54333.00,31727.00,22606.00
2025-09-20,54364.00,31727.00,22637.00
2025-09-21,54364.00,31727.00,22637.00
2025-09-22,56258.00,31727.00,24531.00
2025-09-23,54403.00,31727.00,22676.00
2025-09-24,55013.00,31727.00,23286.00
2025-09-25,51515.00,31727.00,19788.00
2025-09-26,52503.00,31727.00,20776.00
2025-09-27,52126.00,31727.00,20399.00
2025-09-28,52126.00,31727.00,20399.00
2025-09-29,53096.00,31727.00,21369.00
2025-09-30,51706.00,31727.00,19979.00
2025-10-01,52672.00,31727.00,20945.00
2025-10-02,51981.00,31727.00,20254.00
2025-10-03,51580.00,31727.00,19853.00
2025-10-04,51530.00,31727.00,19803.00
2025-10-05,51530.00,31727.00,19803.00
2025-10-06,52687.00,31727.00,20960.00
2025-10-07,51228.00,31727.00,19501.00
2025-10-08,51410.00,31727.00,19683.00
2025-10-09,51387.00,31727.00,19660.00
2025-10-10,47919.00,31727.00,16192.00
2025-10-11,47919.00,31727.00,16192.00
